Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,logische Sortierung,Kommentar
fol. 102r,KB-E2_GB-C_205,#205,GB-C 205-x,354,CCClv,,
fol. 102v,KB-E2_GB-C_206,#206,GB-C 206-x,354,,,
fol. 103r,KB-E2_GB-C_207,#207,GB-C 207-x,355,CCClvi,,
fol. 103v,KB-E2_GB-C_208,#208,GB-C 208-x,355,,1431,
fol. 104r,KB-E2_GB-C_209,#209,GB-C 209-x,356,CCClvii,,
fol. 104v,KB-E2_GB-C_210,#210,GB-C 210-x,356,,,
fol. 105r,KB-E2_GB-C_211,#211,GB-C 211-x,357,CCClviii,,
fol. 105v,KB-E2_GB-C_212,#212,GB-C 212-x,357,,,
fol. 106r,KB-E2_GB-C_213,#213,GB-C 213-x,358,CCClviiii,,
fol. 106v,KB-E2_GB-C_214,#214,GB-C 214-x,358,,,
fol. 107r,KB-E2_GB-C_215,#215,GB-C 215-x,359,CCClx,,
fol. 107v,KB-E2_GB-C_216,#216,GB-C 216-x,359,,,
fol. 108r,KB-E2_GB-C_217,#217,GB-C 217-x,360,CCClxi,,
fol. 108v,KB-E2_GB-C_218,#218,GB-C 218-x,360,,,
fol. 109r,KB-E2_GB-C_219,#219,GB-C 219-x,361,CCClxi,,"CCClxi ist doppelt, ab hier stimmt lat./ar. deshalb wieder überein"
fol. 109v,KB-E2_GB-C_220,#220,GB-C 220-x,361,,1432,
fol. 110r,KB-E2_GB-C_221,#221,GB-C 221-x,362,CCClxii,,
fol. 110v,KB-E2_GB-C_222,#222,GB-C 222-x,362,,,
fol. 111r,KB-E2_GB-C_223,#223,GB-C 223-x,363,CCClxiii,,
fol. 111v,KB-E2_GB-C_224,#224,GB-C 224-x,363,,,
fol. 112r,KB-E2_GB-C_225,#225,GB-C 225-x,364,CCClxiiii,,
fol. 112v,KB-E2_GB-C_226,#226,GB-C 226-x,364,,,
fol. 113r,KB-E2_GB-C_227,#227,GB-C 227-x,365,CCClxv,,
fol. 113v,KB-E2_GB-C_228,#228,GB-C 228-x,365,,,
fol. 114r,KB-E2_GB-C_229,#229,GB-C 229-x,366,CCClxvi,,
fol. 114v,KB-E2_GB-C_230,#230,GB-C 230-x,366,,,
fol. 115r,KB-E2_GB-C_231,#231,GB-C 231-x,367,CCClxvii,,
fol. 115v,KB-E2_GB-C_232,#232,GB-C 232-x,367,,,
fol. 116r,KB-E2_GB-C_233,#233,GB-C 233-x,368,CCClxviii,,
fol. 116v,KB-E2_GB-C_234,#234,GB-C 234-x,368,,,
fol. 117r,KB-E2_GB-C_235,#235,GB-C 235-x,369,CCClxviiii,,
fol. 117v,KB-E2_GB-C_236,#236,GB-C 236-x,369,,,
fol. 118r,KB-E2_GB-C_237,#237,GB-C 237-x,370,CCClxx,,
fol. 118v,KB-E2_GB-C_238,#238,GB-C 238-x,370,,1433,
fol. 119r,KB-E2_GB-C_239,#239,GB-C 239-x,371,CCClxxi,,
fol. 119v,KB-E2_GB-C_240,#240,GB-C 240-x,371,,,
fol. 120r,KB-E2_GB-C_241,#241,GB-C 241-x,372,CCClxxii,,
fol. 120v,KB-E2_GB-C_242,#242,GB-C 242-x,372,,,
fol. 121r,KB-E2_GB-C_243,#243,GB-C 243-x,373,CCClxxiii,,
fol. 121v,KB-E2_GB-C_244,#244,GB-C 244-x,373,,,
fol. 122r,KB-E2_GB-C_245,#245,GB-C 245-x,374,CCClxxiiii,,
fol. 122v,KB-E2_GB-C_246,#246,GB-C 246-x,374,,,
fol. 123r,KB-E2_GB-C_247,#247,GB-C 247-x,375,CCClxxv,,
fol. 123v,KB-E2_GB-C_248,#248,GB-C 248-x,375,,,
fol. 124r,KB-E2_GB-C_249,#249,GB-C 249-x,376,CCClxxvi,,
fol. 124v,KB-E2_GB-C_250,#250,GB-C 250-x,376,,,
fol. 125r,KB-E2_GB-C_251,#251,GB-C 251-x,377,CCClxxvii,,
fol. 125v,KB-E2_GB-C_252,#252,GB-C 252-x,377,,,
fol. 126r,KB-E2_GB-C_253,#253,GB-C 253-x,378,CCClxxviii,,
fol. 126v,KB-E2_GB-C_254,#254,GB-C 254-x,378,,1434,
fol. 127r,KB-E2_GB-C_255,#255,GB-C 255-x,379,CClxxviiii,,
fol. 127v,KB-E2_GB-C_256,#256,GB-C 256-x,379,,,
fol. 128r,KB-E2_GB-C_257,#257,GB-C 257-x,380,CCClxxx,,
fol. 128v,KB-E2_GB-C_258,#258,GB-C 258-x,380,,,
fol. 129r,KB-E2_GB-C_259,#259,GB-C 259-x,381,CCClxxxi,,
fol. 129v,KB-E2_GB-C_260,#260,GB-C 260-x,381,,,
fol. 130r,KB-E2_GB-C_261,#261,GB-C 261-x,382,CCClxxxii,,
fol. 130v,KB-E2_GB-C_262,#262,GB-C 262-x,382,,,
fol. 131r,KB-E2_GB-C_263,#263,GB-C 263-x,383,CCClxxxiii,,
fol. 131v,KB-E2_GB-C_264,#264,GB-C 264-x,383,,,
fol. 132r,KB-E2_GB-C_265,#265,GB-C 265-x,384,CCClxxxiiii,,
fol. 132v,KB-E2_GB-C_266,#266,GB-C 266-x,384,,,
fol. 133r,KB-E2_GB-C_267,#267,GB-C 267-x,385,CCClxxxv,,
fol. 133v,KB-E2_GB-C_268,#268,GB-C 268-x,385,,,
fol. 134r,KB-E2_GB-C_269,#269,GB-C 269-x,386,CCClxxxvi,,
fol. 134v,KB-E2_GB-C_270,#270,GB-C 270-x,386,,,
fol. 135r,KB-E2_GB-C_271,#271,GB-C 271-x,387,CCClxxxvii,1435,
fol. 135v,KB-E2_GB-C_272,#272,GB-C 272-x,387,,,
fol. 136r,KB-E2_GB-C_273,#273,GB-C 273-x,388,CCClxxxviii,,
fol. 136v,KB-E2_GB-C_274,#274,GB-C 274-x,388,,,
fol. 137r,KB-E2_GB-C_275,#275,GB-C 275-x,389,CCClxxxviiii,,
fol. 137v,KB-E2_GB-C_276,#276,GB-C 276-x,389,,,
fol. 138r,KB-E2_GB-C_277,#277,GB-C 277-x,390,CCClxxxx,,
fol. 138v,KB-E2_GB-C_278,#278,GB-C 278-x,390,,,
fol. 139r,KB-E2_GB-C_279,#279,GB-C 279-x,391,CCClxxxxi,,
fol. 139v,KB-E2_GB-C_280,#280,GB-C 280-x,391,,,
fol. 140r,KB-E2_GB-C_281,#281,GB-C 281-x,392,CCClxxxxii,,
fol. 140v,KB-E2_GB-C_282,#282,GB-C 282-x,392,,,
fol. 141r,KB-E2_GB-C_283,#283,GB-C 283-x,393,CCClxxxxiii,,
fol. 141v,KB-E2_GB-C_284,#284,GB-C 284-x,393,,,
fol. 142r,KB-E2_GB-C_285,#285,GB-C 285-x,394,CCClxxxxiiii,,
fol. 142v,KB-E2_GB-C_286,#286,GB-C 286-x,394,,,
fol. 143r,KB-E2_GB-C_287,#287,GB-C 287-x,395,CCClxxxxv,,
fol. 143v,KB-E2_GB-C_288,#288,GB-C 288-x,395,,,
fol. 144r,KB-E2_GB-C_289,#289,GB-C 289-x,396,CCClxxxxvi,,
fol. 144v,KB-E2_GB-C_290,#290,(leer),396,,,
fol. 145r,KB-E2_GB-C_291,#291,GB-C 291-x,397,CCClxxxxvii,1436,
fol. 145v,KB-E2_GB-C_292,#292,GB-C 292-x,397,,,
fol. 146r,KB-E2_GB-C_293,#293,GB-C 293-x,398,CCClxxxxviii,,
fol. 146v,KB-E2_GB-C_294,#294,GB-C 294-x,398,,,
fol. 147r,KB-E2_GB-C_295,#295,GB-C 295-x,399,CCClxxxxviiii,,
fol. 147v,KB-E2_GB-C_296,#296,GB-C 296-x,399,,,
fol. 148r,KB-E2_GB-C_297,#297,GB-C 297-x,400,CCCC,,
fol. 148v,KB-E2_GB-C_298,#298,GB-C 298-x,400,,,
fol. 149r,KB-E2_GB-C_299,#299,GB-C 299-x,401,CCCCi,,
fol. 149v,KB-E2_GB-C_300,#300,GB-C 300-x,401,,,
fol. 150r,KB-E2_GB-C_301,#301,GB-C 301-x,402,CCCCii,,
fol. 150v,KB-E2_GB-C_302,#302,GB-C 302-x,402,,,
fol. 151r,KB-E2_GB-C_303,#303,GB-C 303-x,403,CCCCiii,,
fol. 151v,KB-E2_GB-C_304,#304,GB-C 304-x,403,,,
fol. 152r,KB-E2_GB-C_305,#305,GB-C 305-x,404,CCCCiiii,,
fol. 152v,KB-E2_GB-C_306,#306,GB-C 306-x,404,,,
fol. 153r,KB-E2_GB-C_307,#307,GB-C 307-x,405,CCCCv,,
fol. 153v,KB-E2_GB-C_308,#308,GB-C 308-x,405,,,
fol. 154r,KB-E2_GB-C_309,#309,GB-C 309-x,406,CCCCvi,,
fol. 154v,KB-E2_GB-C_310,#310,GB-C 310-x,406,,,
fol. 155r,KB-E2_GB-C_311,#311,GB-C 311-x,407,CCCCvii,,
fol. 155v,KB-E2_GB-C_312,#312,GB-C 312-x,407,,,
fol. 156r,KB-E2_GB-C_313,#313,GB-C 313-x,408,CCCCviii,1437,
fol. 156v,KB-E2_GB-C_314,#314,GB-C 314-x,408,,,
fol. 157r,KB-E2_GB-C_315,#315,GB-C 315-x,409,CCCCviiii,,
fol. 157v,KB-E2_GB-C_316,#316,GB-C 316-x,409,,,
fol. 158r,KB-E2_GB-C_317,#317,GB-C 317-x,410,CCCCx,,
fol. 158v,KB-E2_GB-C_318,#318,GB-C 318-x,410,,,
fol. 159r,KB-E2_GB-C_319,#319,GB-C 319-x,411,CCCCxi,,
fol. 159v,KB-E2_GB-C_320,#320,GB-C 320-x,411,,,
fol. 160r,KB-E2_GB-C_321,#321,GB-C 321-x,412,CCCCxii,,
fol. 160v,KB-E2_GB-C_322,#322,GB-C 322-x,412,,,
fol. 161r,KB-E2_GB-C_323,#323,GB-C 323-x,413,CCCCxiiii,,
fol. 161v,KB-E2_GB-C_324,#324,GB-C 324-x,413,,,
fol. 162r,KB-E2_GB-C_325,#325,GB-C 325-x,414,CCCCxiiii,,
fol. 162v,KB-E2_GB-C_326,#326,GB-C 326-x,414,,,
fol. 163r,KB-E2_GB-C_327,#327,GB-C 327-x,415,CCCCxv,,
fol. 163v,KB-E2_GB-C_328,#328,GB-C 328-x,415,,,
fol. 164r,KB-E2_GB-C_329,#329,GB-C 329-x,416,CCCCxvi,,
