Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,logische Sortierung,Kommentar
fol. 63v,KB-E2_GB-C_128,#128,GB-C 128-x,315,,,
fol. 64r,KB-E2_GB-C_129,#129,GB-C 129-x,316,CCCxvii,,
fol. 64v,KB-E2_GB-C_130,#130,GB-C 130-x,316,,,
fol. 65r,KB-E2_GB-C_131,#131,GB-C 131-x,317,CCCxviii,1423,
fol. 65v,KB-E2_GB-C_132,#132,GB-C 132-x,317,,,
fol. 66r,KB-E2_GB-C_133,#133,GB-C 133-x,318,CCCxviiii,,
fol. 66v,KB-E2_GB-C_134,#134,GB-C 134-x,318,,,
fol. 67r,KB-E2_GB-C_135,#135,GB-C 135-x,319,CCCxx,,
fol. 67v,KB-E2_GB-C_136,#136,GB-C 136-x,319,,,
fol. 68r,KB-E2_GB-C_137,#137,GB-C 137-x,320,CCCxxi,1424,
fol. 68v,KB-E2_GB-C_138,#138,GB-C 138-x,320,,,
fol. 69r,KB-E2_GB-C_139,#139,GB-C 139-x,321,CCCxxii,,
fol. 69v,KB-E2_GB-C_140,#140,GB-C 140-x,321,,,
fol. 70r,KB-E2_GB-C_141,#141,GB-C 141-x,322,CCCxxiii,,
fol. 70v,KB-E2_GB-C_142,#142,GB-C 142-x,322,,,
fol. 71r,KB-E2_GB-C_143,#143,GB-C 143-x,323,CCCxxiiii,1425,
fol. 71v,KB-E2_GB-C_144,#144,GB-C 144-x,323,,,
fol. 72r,KB-E2_GB-C_145,#145,GB-C 145-x,324,CCCxxv,,
fol. 72v,KB-E2_GB-C_146,#146,GB-C 146-x,324,,,
fol. 73r,KB-E2_GB-C_147,#147,GB-C 147-x,325,CCCxxvi,,
fol. 73v,KB-E2_GB-C_148,#148,GB-C 148-x,325,,,
fol. 74r,KB-E2_GB-C_149,#149,GB-C 149-x,326,CCCxxvii,,
fol. 74v,KB-E2_GB-C_150,#150,GB-C 150-x,326,,,
fol. 75r,KB-E2_GB-C_151,#151,GB-C 151-x,327,CCCxxviii,,
fol. 75v,KB-E2_GB-C_152,#152,GB-C 152-x,327,,,
fol. 76r,KB-E2_GB-C_153,#153,GB-C 153-x,328,CCCxxviiii,,
fol. 76v,KB-E2_GB-C_154,#154,GB-C 154-x,328,,1426,
fol. 77r,KB-E2_GB-C_155,#155,GB-C 155-x,329,CCCxxx,,
fol. 77v,KB-E2_GB-C_156,#156,GB-C 156-x,329,,,
fol. 78r,KB-E2_GB-C_157,#157,GB-C 157-x,330,CCCxxxi,,
fol. 78v,KB-E2_GB-C_158,#158,GB-C 158-x,330,,,
fol. 79r,KB-E2_GB-C_159,#159,GB-C 159-x,331,CCCxxxii,,
fol. 79v,KB-E2_GB-C_160,#160,GB-C 160-x,331,,,
