"Zählung 
Helmchen",Scan-Dateiname,"originale 
Scan-Nummer",Eintrag,"Foliierung 
arabisch","Foliierung 
lateinisch",Kommentar
Vorderdeckel außen,GB-E_0000,#0001,,,,Zählung ab 0000: siehe README
Vorderdeckel innen,GB-E_0000a,,,,,nachträglich eingefügt
fol. 1r,GB-E_0001,#0002,(GRDB. WIEN),I,,
fol. 1v,GB-E_0002,,(Renovirt 1569),,,nachträglich eingefügt
fol. 2r,GB-E_0003,#0003,(Titelseite),II,,
fol. 2v,,,,,,Scan fehlt (Seite ist leer)
fol. 105r,GB-E_0208,#0208,GB-E 0208-x,104,,
fol. 105v,GB-E_0209,#0209,GB-E 0209-x,,,
fol. 106r,GB-E_0210,#0210,GB-E 0210-x,105,,
fol. 106v,GB-E_0211,#0211,GB-E 0211-x,,,
fol. 107r,GB-E_0212,#0212,GB-E 0212-x,106,,
fol. 107v,GB-E_0213,#0213,GB-E 0213-x,,,
fol. 108r,GB-E_0214,#0214,GB-E 0214-x,107,,
fol. 108v,GB-E_0215,#0215,GB-E 0215-x,,,
fol. 109r,GB-E_0216,#0216,GB-E 0216-x,108,,
fol. 109v,GB-E_0217,#0217,GB-E 0217-x,,,
fol. 110r,GB-E_0218,#0218,GB-E 0218-x,109,,
fol. 110v,GB-E_0219,#0219,GB-E 0219-x,,,
fol. 111r,GB-E_0220,#0220,GB-E 0220-x,110,,
fol. 111v,GB-E_0221,#0221,GB-E 0221-x,,,
fol. 112r,GB-E_0222,#0222,GB-E 0222-x,111,,
fol. 112v,GB-E_0223,#0223,GB-E 0223-x,,,
fol. 113r,GB-E_0224,#0224,GB-E 0224-x,112,,
fol. 113v,GB-E_0225,#0225,GB-E 0225-x,,,
fol. 114r,GB-E_0226,#0226,GB-E 0226-x,113,,
fol. 114v,GB-E_0227,#0227,GB-E 0227-x,,,
fol. 115r,GB-E_0228,#0228,GB-E 0228-x,114,,
fol. 115v,GB-E_0229,#0229,GB-E 0229-x,,,
fol. 116r,GB-E_0230,#0230,GB-E 0230-x,115,,
fol. 116v,GB-E_0231,#0231,GB-E 0231-x,,,
fol. 117r,GB-E_0232,#0232,GB-E 0232-x,116,,
fol. 117v,GB-E_0233,#0233,GB-E 0233-x,,,
fol. 118r,GB-E_0234,#0234,GB-E 0234-x,117,,
fol. 118v,GB-E_0235,#0235,GB-E 0235-x,,,
fol. 119r,GB-E_0236,#0236,GB-E 0236-x,118,,
fol. 119v,GB-E_0237,#0237,GB-E 0237-x,,,
fol. 120r,GB-E_0238,#0238,GB-E 0238-x,119,,
fol. 120v,GB-E_0239,#0239,GB-E 0239-x,,,
fol. 121r,GB-E_0240,#0240,GB-E 0240-x,120,,
fol. 121v,GB-E_0241,#0241,GB-E 0241-x,,,
fol. 122r,GB-E_0242,#0242,GB-E 0242-x,121,,
fol. 122v,GB-E_0243,#0243,GB-E 0243-x,,,
fol. 123r,GB-E_0244,#0244,GB-E 0244-x,122,,
fol. 123v,GB-E_0245,#0245,GB-E 0245-x,,,
fol. 124r,GB-E_0246,#0246,GB-E 0246-x,123,,
fol. 124v,GB-E_0247,#0247,GB-E 0247-x,,,
fol. 125r,GB-E_0248,#0248,GB-E 0248-x,124,,
fol. 125v,GB-E_0249,#0249,GB-E 0249-x,,,
fol. 126r,GB-E_0250,#0250,GB-E 0250-x,125,,
fol. 126v,GB-E_0251,#0251,GB-E 0251-x,,,
fol. 127r,GB-E_0252,#0252,GB-E 0252-x,126,,
fol. 127v,GB-E_0253,#0253,GB-E 0253-x,,,
fol. 128r,GB-E_0254,#0254,GB-E 0254-x,127,,
fol. 128v,GB-E_0255,#0255,GB-E 0255-x,,,
fol. 129r,GB-E_0256,#0256,GB-E 0256-x,128,,
fol. 129v,GB-E_0257,#0257,GB-E 0257-x,,,
fol. 130r,GB-E_0258,#0258,GB-E 0258-x,129,,
fol. 130v,GB-E_0259,#0259,GB-E 0259-x,,,
fol. 131r,GB-E_0260,#0260,GB-E 0260-x,130,,
fol. 131v,GB-E_0261,#0261,GB-E 0261-x,,,
fol. 132r,GB-E_0262,#0262,GB-E 0262-x,131,,
fol. 132v,GB-E_0263,#0263,GB-E 0263-x,,,
fol. 133r,GB-E_0264,#0264,GB-E 0264-x,132,,
fol. 133v,GB-E_0265,#0265,GB-E 0265-x,,,
fol. 134r,GB-E_0266,#0266,GB-E 0266-x,133,,
fol. 134v,GB-E_0267,#0267,GB-E 0267-x,,,
fol. 135r,GB-E_0268,#0268,GB-E 0268-x,134,,
fol. 135v,GB-E_0269,#0269,GB-E 0269-x,,,
fol. 136r,GB-E_0270,#0270,GB-E 0270-x,135,,
fol. 136v,GB-E_0271,#0271,GB-E 0271-x,,,
fol. 137r,GB-E_0272,#0272,GB-E 0272-x,136,,
fol. 137v,GB-E_0273,#0273,GB-E 0273-x,,,
fol. 138r,GB-E_0274,#0274,GB-E 0274-x,137,,
fol. 138v,GB-E_0275,#0275,GB-E 0275-x,,,
fol. 139r,GB-E_0276,#0276,GB-E 0276-x,138,,
fol. 139v,GB-E_0277,#0277,GB-E 0277-x,,,
fol. 140r,GB-E_0278,#0278,GB-E 0278-x,139,,
fol. 140v,GB-E_0279,#0279,GB-E 0279-x,,,
fol. 141r,GB-E_0280,#0280,GB-E 0280-x,140,,
fol. 141v,GB-E_0281,#0281,GB-E 0281-x,,,
fol. 142r,GB-E_0282,#0282,GB-E 0282-x,141,,
fol. 142v,GB-E_0283,#0283,GB-E 0283-x,,,
fol. 143r,GB-E_0284,#0284,GB-E 0284-x,142,,
fol. 143v,GB-E_0285,#0285,GB-E 0285-x,,,
fol. 144r,GB-E_0286,#0286,GB-E 0286-x,143,,
fol. 144v,GB-E_0287,#0287,GB-E 0287-x,,,
fol. 145r,GB-E_0288,#0288,GB-E 0288-x,144,,
fol. 145v,GB-E_0289,#0289,GB-E 0289-x,,,
fol. 146r,GB-E_0290,#0290,GB-E 0290-x,145,,
fol. 146v,GB-E_0291,#0291,GB-E 0291-x,,,
fol. 147r,GB-E_0292,#0292,GB-E 0292-x,146,,
fol. 147v,GB-E_0293,#0293,GB-E 0293-x,,,
fol. 148r,GB-E_0294,#0294,GB-E 0294-x,147,,
fol. 148v,GB-E_0295,#0295,GB-E 0295-x,,,
fol. 149r,GB-E_0296,#0296,GB-E 0296-x,148,,
fol. 149v,GB-E_0297,#0297,GB-E 0297-x,,,
fol. 150r,GB-E_0298,#0298,GB-E 0298-x,149,,
fol. 150v,GB-E_0299,#0299,GB-E 0299-x,,,
fol. 151r,GB-E_0300,#0300,GB-E 0300-x,150,,
fol. 151v,GB-E_0301,#0301,GB-E 0301-x,,,
fol. 152r,GB-E_0302,#0302,GB-E 0302-x,151,,
fol. 152v,GB-E_0303,#0303,GB-E 0303-x,,,
fol. 153r,GB-E_0304,#0304,GB-E 0304-x,152,,
fol. 153v,GB-E_0305,#0305,GB-E 0305-x,,,
fol. 154r,GB-E_0306,#0306,GB-E 0306-x,153,,
fol. 154v,GB-E_0307,#0307,GB-E 0307-x,,,
fol. 155r,GB-E_0308,#0308,GB-E 0308-x,154,,
fol. 155v,GB-E_0309,#0309,GB-E 0309-x,,,
fol. 156r,GB-E_0310,#0310,GB-E 0310-x,155,,
fol. 156v,GB-E_0311,#0311,GB-E 0311-x,,,
fol. 157r,GB-E_0312,#0312,GB-E 0312-x,156,,
fol. 157v,GB-E_0313,#0313,GB-E 0313-x,,,
fol. 158r,GB-E_0314,#0314,GB-E 0314-x,157,,
fol. 158v,GB-E_0315,#0315,GB-E 0315-x,,,
fol. 159r,GB-E_0316,#0316,GB-E 0316-x,158,,
fol. 159v,GB-E_0317,#0317,GB-E 0317-x,,,
fol. 160r,GB-E_0318,#0318,GB-E 0318-x,159,,
fol. 160v,GB-E_0319,#0319,GB-E 0319-x,,,
fol. 161r,GB-E_0320,#0320,GB-E 0320-x,160,,
fol. 161v,GB-E_0321,#0321,GB-E 0321-x,,,
fol. 162r,GB-E_0322,#0322,GB-E 0322-x,161,,
fol. 162v,GB-E_0323,#0323,GB-E 0323-x,,,
fol. 163r,GB-E_0324,#0324,GB-E 0324-x,162,,
fol. 163v,GB-E_0325,#0325,GB-E 0325-x,,,
fol. 164r,GB-E_0326,#0326,GB-E 0326-x,163,,
fol. 164v,GB-E_0327,#0327,GB-E 0327-x,,,
fol. 165r,GB-E_0328,#0328,GB-E 0328-x,164,,
fol. 165v,GB-E_0329,#0329,GB-E 0329-x,,,
fol. 166r,GB-E_0330,#0330,GB-E 0330-x,165,,
fol. 166v,GB-E_0331,#0331,GB-E 0331-x,,,
fol. 167r,GB-E_0332,#0332,GB-E 0332-x,166,,
fol. 167v,GB-E_0333,#0333,GB-E 0333-x,,,
fol. 168r,GB-E_0334,#0334,GB-E 0334-x,167,,
fol. 168v,GB-E_0335,#0335,GB-E 0335-x,,,
fol. 169r,GB-E_0336,#0336,GB-E 0336-x,168,,
fol. 169v,GB-E_0337,#0337,GB-E 0337-x,,,
fol. 170r,GB-E_0338,#0338,GB-E 0338-x,169,,
fol. 170v,GB-E_0339,#0339,GB-E 0339-x,,,
fol. 171r,GB-E_0340,#0340,GB-E 0340-x,170,,
fol. 171v,GB-E_0341,#0341,GB-E 0341-x,,,
fol. 172r,GB-E_0342,#0342,GB-E 0342-x,171,,
fol. 172v,GB-E_0343,#0343,GB-E 0343-x,,,
fol. 173r,GB-E_0344,#0344,GB-E 0344-x,172,,
fol. 173v,GB-E_0345,#0345,GB-E 0345-x,,,
fol. 174r,GB-E_0346,#0346,GB-E 0346-x,173,,
fol. 174v,GB-E_0347,#0347,GB-E 0347-x,,,
fol. 175r,GB-E_0348,#0348,GB-E 0348-x,174,,
fol. 175v,GB-E_0349,#0349,GB-E 0349-x,,,
fol. 176r,GB-E_0350,#0350,GB-E 0350-x,175,,
fol. 176v,GB-E_0351,#0351,GB-E 0351-x,,,
fol. 177r,GB-E_0352,#0352,GB-E 0352-x,176,,
fol. 177v,GB-E_0353,#0353,GB-E 0353-x,,,
fol. 178r,GB-E_0354,#0354,GB-E 0354-x,177,,
fol. 178v,GB-E_0355,#0355,GB-E 0355-x,,,
fol. 179r,GB-E_0356,#0356,GB-E 0356-x,178,,
fol. 179v,GB-E_0357,#0357,GB-E 0357-x,,,
fol. 180r,GB-E_0358,#0358,GB-E 0358-x,179,,
fol. 180v,GB-E_0359,#0359,GB-E 0359-x,,,
fol. 181r,GB-E_0360,#0360,GB-E 0360-x,180,,
fol. 181v,GB-E_0361,#0361,GB-E 0361-x,,,
fol. 182r,GB-E_0362,#0362,GB-E 0362-x,181,,
fol. 182v,GB-E_0363,#0363,GB-E 0363-x,,,
fol. 183r,GB-E_0364,#0364,GB-E 0364-x,182,,
fol. 183v,GB-E_0365,#0365,GB-E 0365-x,,,
fol. 184r,GB-E_0366,#0366,GB-E 0366-x,183,,
fol. 184v,GB-E_0367,#0367,GB-E 0367-x,,,
fol. 185r,GB-E_0368,#0368,GB-E 0368-x,184,,
fol. 185v,GB-E_0369,#0369,GB-E 0369-x,,,
fol. 186r,GB-E_0370,#0370,GB-E 0370-x,185,,
fol. 186v,GB-E_0371,#0371,GB-E 0371-x,,,
fol. 187r,GB-E_0372,#0372,GB-E 0372-x,186,,
fol. 187v,GB-E_0373,#0373,GB-E 0373-x,,,
fol. 188r,GB-E_0374,#0374,GB-E 0374-x,187,,
fol. 188v,GB-E_0375,#0375,GB-E 0375-x,,,
fol. 189r,GB-E_0376,#0376,GB-E 0376-x,188,,
fol. 189v,GB-E_0377,#0377,GB-E 0377-x,,,
fol. 190r,GB-E_0378,#0378,GB-E 0378-x,189,,
fol. 190v,GB-E_0379,#0379,GB-E 0379-x,,,
fol. 191r,GB-E_0380,#0380,GB-E 0380-x,190,,
fol. 191v,GB-E_0381,#0381,GB-E 0381-x,,,
fol. 192r,GB-E_0382,#0382,GB-E 0382-x,191,,
fol. 192v,GB-E_0383,#0383,GB-E 0383-x,,,
fol. 193r,GB-E_0384,#0384,GB-E 0384-x,192,,
fol. 193v,GB-E_0385,#0385,GB-E 0385-x,,,
fol. 194r,GB-E_0386,#0386,GB-E 0386-x,193,,
fol. 194v,GB-E_0387,#0387,GB-E 0387-x,,,
fol. 195r,GB-E_0388,#0388,GB-E 0388-x,194,,
fol. 195v,GB-E_0389,#0389,GB-E 0389-x,,,
fol. 196r,GB-E_0390,#0390,GB-E 0390-x,195,,
fol. 196v,GB-E_0391,#0391,GB-E 0391-x,,,
fol. 197r,GB-E_0392,#0392,GB-E 0392-x,196,,
fol. 197v,GB-E_0393,#0393,GB-E 0393-x,,,
fol. 198r,GB-E_0394,#0394,GB-E 0394-x,197,,
fol. 198v,GB-E_0395,#0395,GB-E 0395-x,,,
fol. 199r,GB-E_0396,#0396,GB-E 0396-x,198,,
fol. 199v,GB-E_0397,#0397,GB-E 0397-x,,,
fol. 200r,GB-E_0398,#0398,GB-E 0398-x,199,,
fol. 200v,GB-E_0399,#0399,GB-E 0399-x,,,
fol. 201r,GB-E_0400,#0400,GB-E 0400-x,200,,
fol. 201v,GB-E_0401,#0401,GB-E 0401-x,,,
fol. 202r,GB-E_0402,#0402,GB-E 0402-x,201,,
fol. 202v,GB-E_0403,#0403,GB-E 0403-x,,,
fol. 203r,GB-E_0404,#0404,GB-E 0404-x,202,,
fol. 203v,GB-E_0405,#0405,GB-E 0405-x,,,
fol. 204r,GB-E_0406,#0406,GB-E 0406-x,203,,
fol. 204v,GB-E_0407,#0407,GB-E 0407-x,,,
fol. 205r,GB-E_0408,#0408,GB-E 0408-x,204,,
fol. 205v,GB-E_0409,#0409,GB-E 0409-x,,,
fol. 206r,GB-E_0410,#0410,GB-E 0410-x,205,,
fol. 206v,GB-E_0411,#0411,GB-E 0411-x,,,
fol. 207r,GB-E_0412,#0412,GB-E 0412-x,206,,
fol. 207v,GB-E_0413,#0413,GB-E 0413-x,,,
fol. 208r,GB-E_0414,#0414,GB-E 0414-x,207,,
fol. 208v,GB-E_0415,#0415,GB-E 0415-x,,,
fol. 209r,GB-E_0416,#0416,GB-E 0416-x,208,,
fol. 209v,GB-E_0417,#0417,GB-E 0417-x,,,
fol. 210r,GB-E_0418,#0418,GB-E 0418-x,209,,
fol. 210v,GB-E_0419,#0419,GB-E 0419-x,,,
fol. 211r,GB-E_0420,#0420,GB-E 0420-x,210,,
fol. 211v,GB-E_0421,#0421,GB-E 0421-x,,,
fol. 212r,GB-E_0422,#0422,GB-E 0422-x,211,,
fol. 212v,GB-E_0423,#0423,GB-E 0423-x,,,
fol. 213r,GB-E_0424,#0424,GB-E 0424-x,212,,
fol. 213v,GB-E_0425,#0425,GB-E 0425-x,,,
fol. 214r,GB-E_0426,#0426,GB-E 0426-x,213,,
fol. 214v,GB-E_0427,#0427,GB-E 0427-x,,,
fol. 215r,GB-E_0428,#0428,GB-E 0428-x,214,,
fol. 215v,GB-E_0429,#0429,GB-E 0429-x,,,
fol. 216r,GB-E_0430,#0430,GB-E 0430-x,215,,
fol. 216v,GB-E_0431,#0431,GB-E 0431-x,,,
fol. 217r,GB-E_0432,#0432,GB-E 0432-x,216,,
fol. 217v,GB-E_0433,#0433,GB-E 0433-x,,,
fol. 218r,GB-E_0434,#0434,GB-E 0434-x,217,,
fol. 218v,GB-E_0435,#0435,GB-E 0435-x,,,
fol. 219r,GB-E_0436,#0436,GB-E 0436-x,218,,
fol. 219v,GB-E_0437,#0437,GB-E 0437-x,,,
fol. 220r,GB-E_0438,#0438,GB-E 0438-x,219,,
fol. 220v,GB-E_0439,#0439,GB-E 0439-x,,,
fol. 221r,GB-E_0440,#0440,GB-E 0440-x,220,,
fol. 221v,GB-E_0441,#0441,GB-E 0441-x,,,
fol. 222r,GB-E_0442,#0442,GB-E 0442-x,221,,
fol. 222v,GB-E_0443,#0443,GB-E 0443-x,,,
fol. 223r,GB-E_0444,#0444,GB-E 0444-x,222,,
fol. 223v,GB-E_0445,#0445,GB-E 0445-x,,,
fol. 224r,GB-E_0446,#0446,GB-E 0446-x,223,,
fol. 224v,GB-E_0447,#0447,GB-E 0447-x,,,
fol. 225r,GB-E_0448,#0448,GB-E 0448-x,224,,
fol. 225v,GB-E_0449,#0449,GB-E 0449-x,,,
fol. 226r,GB-E_0450,#0450,GB-E 0450-x,225,,
fol. 226v,GB-E_0451,#0451,GB-E 0451-x,,,
fol. 227r,GB-E_0452,#0452,GB-E 0452-x,226,,
fol. 227v,GB-E_0453,#0453,GB-E 0453-x,,,
fol. 228r,GB-E_0454,#0454,GB-E 0454-x,227,,
fol. 228v,GB-E_0455,#0455,GB-E 0455-x,,,
fol. 229r,GB-E_0456,#0456,GB-E 0456-x,228,,
fol. 229v,GB-E_0457,#0457,GB-E 0457-x,,,
fol. 230r,GB-E_0458,#0458,GB-E 0458-x,229,,
fol. 230v,GB-E_0459,#0459,GB-E 0459-x,,,
fol. 231r,GB-E_0460,#0460,GB-E 0460-x,230,,
fol. 231v,GB-E_0461,#0461,GB-E 0461-x,,,
fol. 232r,GB-E_0462,#0462,GB-E 0462-x,231,,
fol. 232v,GB-E_0463,#0463,GB-E 0463-x,,,
fol. 233r,GB-E_0464,#0464,GB-E 0464-x,232,,
fol. 233v,GB-E_0465,#0465,GB-E 0465-x,,,
fol. 234r,GB-E_0466,#0466,GB-E 0466-x,233,,
fol. 234v,GB-E_0467,#0467,GB-E 0467-x,,,
fol. 235r,GB-E_0468,#0468,GB-E 0468-x,234,,
fol. 235v,GB-E_0469,#0469,GB-E 0469-x,,,
fol. 236r,GB-E_0470,#0470,GB-E 0470-x,235,,
fol. 236v,GB-E_0471,#0471,GB-E 0471-x,,,
fol. 237r,GB-E_0472,#0472,GB-E 0472-x,236,,
fol. 237v,GB-E_0473,#0473,GB-E 0473-x,,,
fol. 238r,GB-E_0474,#0474,GB-E 0474-x,237,,
fol. 238v,GB-E_0475,#0475,GB-E 0475-x,,,
fol. 239r,GB-E_0476,#0476,GB-E 0476-x,238,,
fol. 239v,GB-E_0477,#0477,GB-E 0477-x,,,
fol. 240r,GB-E_0478,#0478,GB-E 0478-x,239,,
fol. 240v,GB-E_0479,#0479,GB-E 0479-x,,,
fol. 241r,GB-E_0480,#0480,GB-E 0480-x,240,,
fol. 241v,GB-E_0481,#0481,GB-E 0481-x,,,
fol. 242r,GB-E_0482,#0482,GB-E 0482-x,241,,
fol. 242v,GB-E_0483,#0483,GB-E 0483-x,,,
fol. 243r,GB-E_0484,#0484,GB-E 0484-x,242,,
fol. 243v,GB-E_0485,#0485,GB-E 0485-x,,,
fol. 244r,GB-E_0486,#0486,GB-E 0486-x,243,,
fol. 244v,GB-E_0487,#0487,GB-E 0487-x,,,
fol. 245r,GB-E_0488,#0488,GB-E 0488-x,244,,
fol. 245v,GB-E_0489,#0489,GB-E 0489-x,,,
fol. 246r,GB-E_0490,#0490,GB-E 0490-x,245,,
fol. 246v,GB-E_0491,#0491,GB-E 0491-x,,,
fol. 247r,GB-E_0492,#0492,GB-E 0492-x,246,,
fol. 247v,GB-E_0493,#0493,GB-E 0493-x,,,
fol. 248r,GB-E_0494,#0494,GB-E 0494-x,247,,
fol. 248v,GB-E_0495,#0495,GB-E 0495-x,,,
fol. 249r,GB-E_0496,#0496,GB-E 0496-x,248,,
fol. 249v,GB-E_0497,#0497,GB-E 0497-x,,,
fol. 250r,GB-E_0498,#0498,GB-E 0498-x,249,,
fol. 250v,GB-E_0499,#0499,GB-E 0499-x,,,
fol. 251r,GB-E_0500,#0500,GB-E 0500-x,250,,
fol. 251v,GB-E_0501,#0501,GB-E 0501-x,,,
fol. 252r,GB-E_0502,#0502,GB-E 0502-x,251,,
fol. 252v,GB-E_0503,#0503,GB-E 0503-x,,,
fol. 253r,GB-E_0504,#0504,GB-E 0504-x,252,,
fol. 253v,GB-E_0505,#0505,GB-E 0505-x,,,
fol. 254r,GB-E_0506,#0506,GB-E 0506-x,253,,
fol. 254v,GB-E_0507,#0507,GB-E 0507-x,,,
fol. 255r,GB-E_0508,#0508,GB-E 0508-x,254,,
fol. 255v,GB-E_0509,#0509,GB-E 0509-x,,,
fol. 256r,GB-E_0510,#0510,GB-E 0510-x,255,,
fol. 256v,GB-E_0511,#0511,GB-E 0511-x,,,
fol. 257r,GB-E_0512,#0512,GB-E 0512-x,256,,
fol. 257v,GB-E_0513,#0513,GB-E 0513-x,,,
fol. 258r,GB-E_0514,#0514,GB-E 0514-x,257,,
fol. 258v,GB-E_0515,#0515,GB-E 0515-x,,,
fol. 259r,GB-E_0516,#0516,GB-E 0516-x,258,,
fol. 259v,GB-E_0517,#0517,GB-E 0517-x,,,
fol. 260r,GB-E_0518,#0518,GB-E 0518-x,259,,
fol. 260v,GB-E_0519,#0519,GB-E 0519-x,,,
fol. 261r,GB-E_0520,#0520,GB-E 0520-x,260,,
fol. 261v,GB-E_0521,#0521,GB-E 0521-x,,,
fol. 262r,GB-E_0522,#0522,GB-E 0522-x,261,,
fol. 262v,GB-E_0523,#0523,GB-E 0523-x,,,
fol. 263r,GB-E_0524,#0524,GB-E 0524-x,262,,
fol. 263v,GB-E_0525,#0525,GB-E 0525-x,,,
fol. 264r,GB-E_0526,#0526,GB-E 0526-x,263,,
fol. 264v,GB-E_0527,#0527,GB-E 0527-x,,,
fol. 265r,GB-E_0528,#0528,GB-E 0528-x,264,,
fol. 265v,GB-E_0529,#0529,GB-E 0529-x,,,
fol. 266r,GB-E_0530,#0530,GB-E 0530-x,265,,
fol. 266v,GB-E_0531,#0531,GB-E 0531-x,,,
fol. 267r,GB-E_0532,#0532,GB-E 0532-x,266,,
fol. 267v,GB-E_0533,#0533,GB-E 0533-x,,,
fol. 268r,GB-E_0534,#0534,GB-E 0534-x,267,,
fol. 268v,GB-E_0535,#0535,GB-E 0535-x,,,
fol. 269r,GB-E_0536,#0536,GB-E 0536-x,268,,
fol. 269v,GB-E_0537,#0537,GB-E 0537-x,,,
fol. 270r,GB-E_0538,#0538,GB-E 0538-x,269,,
fol. 270v,GB-E_0539,#0539,GB-E 0539-x,,,
fol. 271r,GB-E_0540,#0540,GB-E 0540-x,270,,
fol. 271v,GB-E_0541,#0541,GB-E 0541-x,,,
fol. 272r,GB-E_0542,#0542,GB-E 0542-x,271,,
fol. 272v,GB-E_0543,#0543,GB-E 0543-x,,,
fol. 273r,GB-E_0544,#0544,GB-E 0544-x,272,,
fol. 273v,GB-E_0545,#0545,GB-E 0545-x,,,
fol. 274r,GB-E_0546,#0546,GB-E 0546-x,273,,
fol. 274v,GB-E_0547,#0547,GB-E 0547-x,,,
fol. 275r,GB-E_0548,#0548,GB-E 0548-x,274,,
fol. 275v,GB-E_0549,#0549,GB-E 0549-x,,,
fol. 276r,GB-E_0550,#0550,GB-E 0550-x,275,,
fol. 276v,GB-E_0551,#0551,GB-E 0551-x,,,
fol. 277r,GB-E_0552,#0552,GB-E 0552-x,276,,
fol. 277v,GB-E_0553,#0553,GB-E 0553-x,,,
fol. 278r,GB-E_0554,#0554,GB-E 0554-x,277,,
fol. 278v,GB-E_0555,#0555,GB-E 0555-x,,,
fol. 279r,GB-E_0556,#0556,GB-E 0556-x,278,,
fol. 279v,GB-E_0557,#0557,GB-E 0557-x,,,
fol. 280r,GB-E_0558,#0558,GB-E 0558-x,279,,
fol. 280v,GB-E_0559,#0559,GB-E 0559-x,,,
fol. 281r,GB-E_0560,#0560,GB-E 0560-x,280,,
fol. 281v,GB-E_0561,#0561,GB-E 0561-x,,,
fol. 282r,GB-E_0562,#0562,GB-E 0562-x,281,,
fol. 282v,GB-E_0563,#0563,GB-E 0563-x,,,
fol. 283r,GB-E_0564,#0564,GB-E 0564-x,282,,
fol. 283v,GB-E_0565,#0565,GB-E 0565-x,,,
fol. 284r,GB-E_0566,#0566,GB-E 0566-x,283,,
fol. 284v,GB-E_0567,#0567,GB-E 0567-x,,,
fol. 285r,GB-E_0568,#0568,GB-E 0568-x,284,,
fol. 285v,GB-E_0569,#0569,GB-E 0569-x,,,
fol. 286r,GB-E_0570,#0570,GB-E 0570-x,285,,
fol. 286v,GB-E_0571,#0571,GB-E 0571-x,,,
fol. 287r,GB-E_0572,#0572,GB-E 0572-x,286,,
fol. 287v,GB-E_0573,#0573,GB-E 0573-x,,,
fol. 288r,GB-E_0574,#0574,GB-E 0574-x,287,,
fol. 288v,GB-E_0575,#0575,GB-E 0575-x,,,
fol. 289r,GB-E_0576,#0576,GB-E 0576-x,288,,
fol. 289v,GB-E_0577,#0577,GB-E 0577-x,,,
fol. 290r,GB-E_0578,#0578,GB-E 0578-x,289,,
fol. 290v,GB-E_0579,#0579,GB-E 0579-x,,,
fol. 291r,GB-E_0580,#0580,GB-E 0580-x,290,,
fol. 291v,GB-E_0581,#0581,GB-E 0581-x,,,
fol. 292r,GB-E_0582,#0582,GB-E 0582-x,291,,
fol. 292v,GB-E_0583,#0583,GB-E 0583-x,,,
fol. 293r,GB-E_0584,#0584,GB-E 0584-x,292,,
fol. 293v,GB-E_0585,#0585,GB-E 0585-x,,,
fol. 294r,GB-E_0586,#0586,(nur Forts.),293,,
fol. 294v,GB-E_0587,#0587,GB-E 0587-x,,,
fol. 295r,GB-E_0588,#0588,GB-E 0588-x,294,,
fol. 295v,GB-E_0589,#0589,GB-E 0589-x,,,
fol. 296r,GB-E_0590,#0590,GB-E 0590-x,295,,
fol. 296v,GB-E_0591,#0591,GB-E 0591-x,,,
fol. 297r,GB-E_0592,#0592,GB-E 0592-x,296,,
fol. 297v,GB-E_0593,#0593,(nur Forts.),,,
fol. 298r,GB-E_0594,#0594,GB-E 0594-x,297,,
fol. 298v,GB-E_0595,#0595,GB-E 0595-x,,,
fol. 299r,GB-E_0596,#0596,GB-E 0596-x,298,,
fol. 299v,GB-E_0597,#0597,GB-E 0597-x,,,
fol. 300r,GB-E_0598,#0598,GB-E 0598-x,299,,
fol. 300v,GB-E_0599,#0599,GB-E 0599-x,,,
fol. 301r,GB-E_0600,#0600,GB-E 0600-x,300,,
fol. 301v,GB-E_0601,#0601,GB-E 0601-x,,,
fol. 302r,GB-E_0602,#0602,GB-E 0602-x,301,,
fol. 302v,GB-E_0603,#0603,GB-E 0603-x,,,
fol. 303r,GB-E_0604,#0604,GB-E 0604-x,302,,
fol. 303v,GB-E_0605,#0605,GB-E 0605-x,,,
fol. 304r,GB-E_0606,#0606,GB-E 0606-x,303,,
fol. 304v,GB-E_0607,#0607,GB-E 0607-x,,,
fol. 305r,GB-E_0608,#0608,GB-E 0608-x,304,,
fol. 305v,GB-E_0609,#0609,GB-E 0609-x,,,
fol. 306r,GB-E_0610,#0610,GB-E 0610-x,305,,
fol. 306v,GB-E_0611,#0611,GB-E 0611-x,,,
fol. 307r,GB-E_0612,#0612,GB-E 0612-x,306,,
fol. 307v,GB-E_0613,#0613,GB-E 0613-x,,,
fol. 308r,GB-E_0614,#0614,GB-E 0614-x,307,,
fol. 308v,GB-E_0615,#0615,GB-E 0615-x,,,
fol. 309r,GB-E_0616,#0616,GB-E 0616-x,308,,
fol. 309v,GB-E_0617,#0617,GB-E 0617-x,,,
fol. 310r,GB-E_0618,#0618,GB-E 0618-x,309,,
fol. 310v,GB-E_0619,#0619,GB-E 0619-x,,,
fol. 311r,GB-E_0620,#0620,GB-E 0620-x,310,,
fol. 311v,GB-E_0621,#0621,GB-E 0621-x,,,
fol. 312r,GB-E_0622,#0622,GB-E 0622-x,311,,
fol. 312v,GB-E_0623,#0623,GB-E 0623-x,,,
fol. 313r,GB-E_0624,#0624,GB-E 0624-x,312,,
fol. 313v,GB-E_0625,#0625,GB-E 0625-x,,,
fol. 314r,GB-E_0626,#0626,GB-E 0626-x,313,,
fol. 314v,GB-E_0627,#0627,GB-E 0627-x,,,
fol. 315r,GB-E_0628,#0628,GB-E 0628-x,314,,
fol. 315v,GB-E_0629,#0629,GB-E 0629-x,,,
