"Zählung 
Helmchen",Scan-Dateiname,"originale 
Scan-Nummer",Eintrag,"Foliierung 
arabisch","Foliierung 
lateinisch",Kommentar
Vorderdeckel außen,GB-E_0000,#0001,,,,Zählung ab 0000: siehe README
Vorderdeckel innen,GB-E_0000a,,,,,nachträglich eingefügt
fol. 1r,GB-E_0001,#0002,(GRDB. WIEN),I,,
fol. 1v,GB-E_0002,,(Renovirt 1569),,,nachträglich eingefügt
fol. 2r,GB-E_0003,#0003,(Titelseite),II,,
fol. 2v,,,,,,Scan fehlt (Seite ist leer)
fol. 358v,GB-E_0715,#0715,GB-E 0715-x,,,
fol. 359r,GB-E_0716,#0716,GB-E 0716-x,358,,
fol. 359v,GB-E_0717,#0717,GB-E 0717-x,,,
fol. 360r,GB-E_0718,#0718,GB-E 0718-x,359,,
fol. 360v,GB-E_0719,#0719,GB-E 0719-x,,,
fol. 361r,GB-E_0720,#0720,GB-E 0720-x,360,,
fol. 361v,GB-E_0721,#0721,GB-E 0721-x,,,
fol. 362r,GB-E_0722,#0722,GB-E 0722-x,361,,
fol. 362v,GB-E_0723,#0723,GB-E 0723-x,,,
fol. 363r,GB-E_0724,#0724,GB-E 0724-x,362,,
fol. 363v,GB-E_0725,#0725,GB-E 0725-x,,,
fol. 364r,GB-E_0726,#0726,GB-E 0726-x,363,,
fol. 364v,GB-E_0727,#0727,GB-E 0727-x,,,
fol. 365r,GB-E_0728,#0728,GB-E 0728-x,364,,
fol. 365v,GB-E_0729,#0729,GB-E 0729-x,,,
fol. 366r,GB-E_0730,#0730,GB-E 0730-x,365,,
fol. 366v,GB-E_0731,#0731,GB-E 0731-x,,,
fol. 367r,GB-E_0732,#0732,GB-E 0732-x,366,,
fol. 367v,GB-E_0733,#0733,GB-E 0733-x,,,
fol. 368r,GB-E_0734,#0734,GB-E 0734-x,367,,
fol. 368v,GB-E_0735,#0735,GB-E 0735-x,,,
fol. 369r,GB-E_0736,#0736,GB-E 0736-x,368,,
fol. 369v,GB-E_0737,#0737,GB-E 0737-x,,,
fol. 370r,GB-E_0738,#0738,GB-E 0738-x,369,,
fol. 370v,GB-E_0739,#0739,GB-E 0739-x,,,
fol. 371r,GB-E_0740,#0740,GB-E 0740-x,370,,
fol. 371v,GB-E_0741,#0741,GB-E 0741-x,,,
fol. 372r,GB-E_0742,#0742,GB-E 0742-x,371,,
fol. 372v,GB-E_0743,#0743,GB-E 0743-x,,,
fol. 373r,GB-E_0744,#0744,GB-E 0744-x,372,,
fol. 373v,GB-E_0745,#0745,GB-E 0745-x,,,
fol. 374r,GB-E_0746,#0746,GB-E 0746-x,373,,
fol. 374v,GB-E_0747,#0747,GB-E 0747-x,,,
fol. 375r,GB-E_0748,#0748,GB-E 0748-x,374,,
fol. 375v,GB-E_0749,#0749,GB-E 0749-x,,,
fol. 376r,GB-E_0750,#0750,GB-E 0750-x,375,,
fol. 376v,GB-E_0751,#0751,GB-E 0751-x,,,
fol. 377r,GB-E_0752,#0752,GB-E 0752-x,376,,
fol. 377v,GB-E_0753,#0753,GB-E 0753-x,,,
fol. 378r,GB-E_0754,#0754,GB-E 0754-x,377,,
fol. 378v,GB-E_0755,#0755,(nur Forts.),,,
fol. 379r,GB-E_0756,#0756,GB-E 0756-x,378,,
fol. 379v,GB-E_0757,#0757,GB-E 0757-x,,,
fol. 380r,GB-E_0758,#0758,GB-E 0758-x,379,,
fol. 380v,GB-E_0759,#0759,GB-E 0759-x,,,
fol. 381r,GB-E_0760,#0760,GB-E 0760-x,380,,
fol. 381v,GB-E_0761,#0761,GB-E 0761-x,,,
fol. 382r,GB-E_0762,#0762,GB-E 0762-x,381,,
fol. 382v,GB-E_0763,#0763,GB-E 0763-x,,,
fol. 383r,GB-E_0764,#0764,GB-E 0764-x,382,,
fol. 383v,GB-E_0765,#0765,GB-E 0765-x,,,
fol. 384r,GB-E_0766,#0766,GB-E 0766-x,383,,
fol. 384v,GB-E_0767,#0767,GB-E 0767-x,,,
fol. 385r,GB-E_0768,#0768,GB-E 0768-x,384,,
fol. 385v,GB-E_0769,#0769,GB-E 0769-x,,,
fol. 386r,GB-E_0770,#0770,GB-E 0770-x,385,,
fol. 386v,GB-E_0771,#0771,GB-E 0771-x,,,
fol. 387r,GB-E_0772,#0772,GB-E 0772-x,386,,
fol. 387v,GB-E_0773,#0773,GB-E 0773-x,,,
fol. 388r,GB-E_0774,#0774,GB-E 0774-x,387,,
fol. 388v,GB-E_0775,#0775,GB-E 0775-x,,,
fol. 389r,GB-E_0776,#0776,GB-E 0776-x,388,,
fol. 389v,GB-E_0777,#0777,GB-E 0777-x,,,
fol. 390r,GB-E_0778,#0778,GB-E 0778-x,390,,"die Schreiber haben sich verzählt, es fehlt kein Blatt"
fol. 390v,GB-E_0779,#0779,GB-E 0779-x,,,
fol. 391r,GB-E_0780,#0780,GB-E 0780-x,391,,
fol. 391v,GB-E_0781,#0781,GB-E 0781-x,,,
fol. 392r,GB-E_0782,#0782,GB-E 0782-x,392,,
fol. 392v,GB-E_0783,#0783,GB-E 0783-x,,,
fol. 393r,GB-E_0784,#0784,GB-E 0784-x,393,,
fol. 393v,GB-E_0785,#0785,GB-E 0785-x,,,
fol. 394r,GB-E_0786,#0786,GB-E 0786-x,394,,
fol. 394v,GB-E_0787,#0787,GB-E 0787-x,,,
fol. 395r,GB-E_0788,#0788,GB-E 0788-x,395,,
fol. 395v,GB-E_0789,#0789,GB-E 0789-x,,,
fol. 396r,GB-E_0790,#0790,GB-E 0790-x,396,,
fol. 396v,GB-E_0791,#0791,GB-E 0791-x,,,
fol. 397r,GB-E_0792,#0792,GB-E 0792-x,397,,
fol. 397v,GB-E_0793,#0793,GB-E 0793-x,,,
fol. 398r,GB-E_0794,#0794,GB-E 0794-x,398,,
fol. 398v,GB-E_0795,#0795,GB-E 0795-x,,,
fol. 399r,GB-E_0796,#0796,GB-E 0796-x,399,,
fol. 399v,GB-E_0797,#0797,GB-E 0797-x,,,
fol. 400r,GB-E_0798,#0798,GB-E 0798-x,400,,
fol. 400v,GB-E_0799,#0799,GB-E 0799-x,,,
fol. 401r,GB-E_0800,#0800,GB-E 0800-x,401,,
fol. 401v,GB-E_0801,#0801,GB-E 0801-x,,,
fol. 402r,GB-E_0802,#0802,GB-E 0802-x,402,,
fol. 402v,GB-E_0803,#0803,GB-E 0803-x,,,
fol. 403r,GB-E_0804,#0804,GB-E 0804-x,403,,
fol. 403v,GB-E_0805,#0805,GB-E 0805-x,,,
fol. 404r,GB-E_0806,#0806,GB-E 0806-x,404,,
fol. 404v,GB-E_0807,#0807,GB-E 0807-x,,,
fol. 405r,GB-E_0808,#0808,GB-E 0808-x,405,,
fol. 405v,GB-E_0809,#0809,GB-E 0809-x,,,
fol. 406r,GB-E_0810,#0810,GB-E 0810-x,406,,
fol. 406v,GB-E_0811,#0811,GB-E 0811-x,,,
fol. 407r,GB-E_0812,#0812,GB-E 0812-x,407,,
fol. 407v,GB-E_0813,#0813,GB-E 0813-x,,,
fol. 408r,GB-E_0814,#0814,GB-E 0814-x,408,,
fol. 408v,GB-E_0815,#0815,GB-E 0815-x,,,
fol. 409r,GB-E_0816,#0816,GB-E 0816-x,409,,
fol. 409v,GB-E_0817,#0817,GB-E 0817-x,,,
fol. 410r,GB-E_0818,#0818,GB-E 0818-x,410,,
fol. 410v,GB-E_0819,#0819,GB-E 0819-x,,,
fol. 411r,GB-E_0820,#0820,GB-E 0820-x,411,,
fol. 411v,GB-E_0821,#0821,GB-E 0821-x,,,
fol. 412r,GB-E_0822,#0822,GB-E 0822-x,412,,
fol. 412v,GB-E_0823,#0823,GB-E 0823-x,,,
fol. 413r,GB-E_0824,#0824,GB-E 0824-x,413,,
fol. 413v,GB-E_0825,#0825,GB-E 0825-x,,,
fol. 414r,GB-E_0826,#0826,GB-E 0826-x,414,,
fol. 414v,GB-E_0827,#0827,GB-E 0827-x,,,
fol. 415r,GB-E_0828,#0828,GB-E 0828-x,415,,
fol. 415v,GB-E_0829,#0829,GB-E 0829-x,,,
fol. 416r,GB-E_0830,#0830,GB-E 0830-x,416,,
fol. 416v,GB-E_0831,#0831,GB-E 0831-x,,,
fol. 417r,GB-E_0832,#0832,GB-E 0832-x,417,,
fol. 417v,GB-E_0833,#0833,GB-E 0833-x,,,
fol. 418r,GB-E_0834,#0834,GB-E 0834-x,418,,
fol. 418v,GB-E_0835,#0835,GB-E 0835-x,,,
fol. 419r,GB-E_0836,#0836,GB-E 0836-x,419,,
fol. 419v,GB-E_0837,#0837,GB-E 0837-x,,,
fol. 420r,GB-E_0838,#0838,GB-E 0838-x,420,,
fol. 420v,GB-E_0839,#0839,GB-E 0839-x,,,
fol. 421r,GB-E_0840,#0840,GB-E 0840-x,421,,
fol. 421v,GB-E_0841,#0841,GB-E 0841-x,,,
fol. 422r,GB-E_0842,#0842,GB-E 0842-x,422,,
fol. 422v,GB-E_0843,#0843,GB-E 0843-x,,,
fol. 423r,GB-E_0844,#0844,GB-E 0844-x,423,,
fol. 423v,GB-E_0845,#0845,GB-E 0845-x,,,
fol. 424r,GB-E_0846,#0846,GB-E 0846-x,424,,
fol. 424v,GB-E_0847,#0847,GB-E 0847-x,,,
fol. 425r,GB-E_0848,#0848,GB-E 0848-x,425,,
fol. 425v,GB-E_0849,#0849,GB-E 0849-x,,,
fol. 426r,GB-E_0850,#0850,GB-E 0850-x,426,,
fol. 426v,GB-E_0851,#0851,GB-E 0851-x,,,
fol. 427r,GB-E_0852,#0852,(nur Forts.),427,,
fol. 427v,GB-E_0853,#0853,GB-E 0853-x,,,
fol. 428r,GB-E_0854,#0854,GB-E 0854-x,428,,
fol. 428v,GB-E_0855,#0855,GB-E 0855-x,,,
fol. 429r,GB-E_0856,#0856,GB-E 0856-x,429,,
fol. 429v,GB-E_0857,#0857,GB-E 0857-x,,,
fol. 430r,GB-E_0858,#0858,GB-E 0858-x,430,,
fol. 430v,GB-E_0859,#0859,GB-E 0859-x,,,
fol. 431r,GB-E_0860,#0860,GB-E 0860-x,431,,
fol. 431v,GB-E_0861,#0861,GB-E 0861-x,,,
fol. 432r,GB-E_0862,#0862,GB-E 0862-x,432,,
fol. 432v,GB-E_0863,#0863,GB-E 0863-x,,,
fol. 433r,GB-E_0864,#0864,GB-E 0864-x,433,,
fol. 433v,GB-E_0865,#0865,GB-E 0865-x,,,
fol. 434r,GB-E_0866,#0866,GB-E 0866-x,434,,
fol. 434v,GB-E_0867,#0867,GB-E 0867-x,,,
fol. 435r,GB-E_0868,#0868,GB-E 0868-x,435,,
fol. 435v,GB-E_0869,#0869,GB-E 0869-x,,,
fol. 436r,GB-E_0870,#0870,GB-E 0870-x,436,,
fol. 436v,GB-E_0871,#0871,GB-E 0871-x,,,
