Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,Kommentar
fol. 215r,KB-E_431,#431,KB-E 431-x,214,CCxv,
fol. 215v,KB-E_432,#432,KB-E 432-x,214,,
fol. 216r,KB-E_433,#433,KB-E 433-x,215,CCxvi,
fol. 216v,KB-E_434,#434,KB-E 434-x,215,,
fol. 217r,KB-E_435,#435,KB-E 435-x,216,CCxvii,
fol. 217v,KB-E_436,#436,KB-E 436-x,216,,
fol. 218r,KB-E_437,#437,KB-E 437-x,217,CCxviii,
fol. 218v,KB-E_438,#438,KB-E 438-x,217,,
fol. 219r,KB-E_439,#439,KB-E 439-x,218,CCxviiii,
fol. 219v,KB-E_440,#440,KB-E 440-x,218,,
fol. 220r,KB-E_441,#441,(leer),219,CCxx,
fol. 220v,KB-E_442,#442,(leer),219,,
fol. 221r,KB-E_443,#443,(leer),220,CCxxi,
fol. 221v,KB-E_444,#444,(leer),220,,
fol. 222r,KB-E_445,#445,(leer),221,CCxxii,
fol. 222v,KB-E_446,#446,(leer),221,,
fol. 223r,KB-E_447,#447,(leer),222,CCxxiii,
fol. 223v,KB-E_448,#448,(leer),222,,
fol. 224r,KB-E_449,#449,KB-E 449-x,223,CCxxiiii,
fol. 224v,KB-E_450,#450,KB-E 450-x,223,,
fol. 225r,KB-E_451,#451,KB-E 451-x,224,CCxxv,
fol. 225v,KB-E_452,#452,KB-E 452-x,224,,
fol. 226r,KB-E_453,#453,KB-E 453-x,225,CCxxvi,
fol. 226v,KB-E_454,#454,KB-E 454-x,225,,
fol. 227r,KB-E_455,#455,KB-E 455-x,226,CCxxvii,
fol. 227v,KB-E_456,#456,KB-E 456-x,226,,
fol. 228r,KB-E_457,#457,KB-E 457-x,227,CCxxviii,
fol. 228v,KB-E_458,#458,KB-E 458-x,227,,
fol. 229r,KB-E_459,#459,KB-E 459-x,228,CCxxviiii,
fol. 229v,KB-E_460,#460,KB-E 460-x,228,,
fol. 230r,KB-E_461,#461,KB-E 461-x,229,CCxxx,
fol. 230v,KB-E_462,#462,KB-E 462-x,229,,
fol. 231r,KB-E_463,#463,KB-E 463-x,230,CCxxxi,
fol. 231v,KB-E_464,#464,KB-E 464-x,230,,
fol. 232r,KB-E_465,#465,KB-E 465-x,231,CCxxxii,
fol. 232v,KB-E_466,#466,KB-E 466-x,231,,
fol. 233r,KB-E_467,#467,KB-E 467-x,232,CCxxxiii,
fol. 233v,KB-E_468,#468,KB-E 468-x,232,,
fol. 234r,KB-E_469,#469,KB-E 469-x,223,CCxxxiiii,
fol. 234v,KB-E_470,#470,KB-E 470-x,233,,
fol. 235r,KB-E_471,#471,KB-E 471-x,234,CCxxv,
fol. 235v,KB-E_472,#472,KB-E 472-x,234,,
fol. 236r,KB-E_473,#473,KB-E 473-x,235,CCxxxvi,
fol. 236v,KB-E_474,#474,KB-E 474-x,235,,
fol. 237r,KB-E_475,#475,KB-E 475-x,236,CCxxxvii,
fol. 237v,KB-E_476,#476,KB-E 476-x,236,,
fol. 238r,KB-E_477,#477,KB-E 477-x,237,CCxxxviii,
fol. 238v,KB-E_478,#478,KB-E 478-x,237,,
fol. 239r,KB-E_479,#479,KB-E 479-x,238,CCxxxviiii,
fol. 239v,KB-E_480,#480,KB-E 480-x,238,,
fol. 240r,KB-E_481,#481,KB-E 481-x,239,CCxl,
fol. 240v,KB-E_482,#482,KB-E 482-x,239,,
fol. 241r,KB-E_483,#483,KB-E 483-x,240,CCxli,
fol. 241v,KB-E_484,#484,KB-E 484-x,240,,
fol. 242r,KB-E_485,#485,KB-E 485-x,241,CCxlii,
fol. 242v,KB-E_486,#486,KB-E 486-x,241,,
fol. 243r,KB-E_487,#487,(leer),242,CCxliii,
fol. 243v,KB-E_488,#488,(leer),242,,
fol. 244r,KB-E_489,#489,(leer),243,CCxliiii,
fol. 244v,KB-E_490,#490,(leer),243,,
fol. 245r,KB-E_491,#491,(leer),244,CCxlv,
fol. 245v,KB-E_492,#492,(leer),244,,
fol. 246r,KB-E_493,#493,(leer),245,CCxlvi,
fol. 246v,KB-E_494,#494,(leer),245,,
fol. 247r,KB-E_495,#495,(leer),246,CCxlvii,
fol. 247v,KB-E_496,#496,(leer),246,,
fol. 248r,KB-E_497,#497,KB-E 497-x,247,CCxlviii,
fol. 248v,KB-E_498,#498,KB-E 498-x,247,,
fol. 249r,KB-E_499,#499,(leer),248,CCxlviiii,
fol. 249v,KB-E_500,#500,(leer),248,,
fol. 250r,KB-E_501,#501,(leer),249,CCl,
fol. 250v,KB-E_502,#502,(leer),249,,
fol. 251r,KB-E_503,#503,(leer),250,CCli,
fol. 251v,KB-E_504,#504,(leer),250,,
fol. 252r,KB-E_505,#505,(leer),251,CClii,
fol. 252v,KB-E_506,#506,(leer),251,,
Rückdeckel innen,KB-E_507,#507,,,,
Rückdecken außen,KB-E_508,#508,,,,
