Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,Kommentar
fol. 77v,KB-E_156,#156,KB-E 156-x,76,lxxvii,
fol. 78r,KB-E_157,#157,KB-E 157-x,77,,
fol. 78v,KB-E_158,#158,KB-E 158-x,77,lxxviii,
fol. 79r,KB-E_159,#159,KB-E 159-x,78,,
fol. 79v,KB-E_160,#160,KB-E 160-x,78,lxxviiii,
fol. 80r,KB-E_161,#161,KB-E 161-x,79,,
fol. 80v,KB-E_162,#162,KB-E 162-x,79,lxxx,
fol. 81r,KB-E_163,#163,KB-E 163-x,80,,
fol. 81v,KB-E_164,#164,KB-E 164-x,80,lxxxi,
fol. 82r,KB-E_165,#165,(leer),81,,
fol. 82v,KB-E_166,#166,(leer),81,lxxxii,
fol. 83r,KB-E_167,#167,(leer),82,,
fol. 83v,KB-E_168,#168,(leer),82,lxxxiii,
fol. 84r,KB-E_169,#169,(leer),83,,
fol. 84v,KB-E_170,#170,(leer),83,lxxxiiii,
fol. 85r,KB-E_171,#171,KB-E 171-x,84,,
fol. 85v,KB-E_172,#172,KB-E 172-x,84,lxxxv,
fol. 86r,KB-E_173,#173,KB-E 173-x,85,,
fol. 86v,KB-E_174,#174,KB-E 174-x,85,lxxxvi,
fol. 87r,KB-E_175,#175,KB-E 175-x,86,,
fol. 87v,KB-E_176,#176,(leer),86,lxxxvii,
fol. 88r,KB-E_177,#177,(leer),87,,
fol. 88v,KB-E_178,#178,(leer),87,lxxxviii,
fol. 89r,KB-E_179,#179,(leer),88,,
fol. 89v,KB-E_180,#180,(leer),88,lxxxviiii,
fol. 90r,KB-E_181,#181,(leer),89,,
fol. 90v,KB-E_182,#182,(leer),89,lxxxx,
fol. 91r,KB-E_183,#183,KB-E 183-x,90,,
fol. 91v,KB-E_184,#184,KB-E 184-x,,lxxxxi,
fol. 92r,KB-E_185,#185,KB-E 185-x,91,,
