eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-D 1013-2,keine_id,Riemergasse,1443,,,72,72 d.,,,,
GB-D 1014-1,keine_id,Graben,1444,,,1800,7.5 tl.,120,900,900 tl.,umb Newnhundert phund pfenning  
GB-D 1014-2,keine_id,Kienmarkt,1444,,,,0 d.,,,,
GB-D 1014-3,keine_id,Kienmarkt,1444,ja,,72,72 d.,,,,
GB-D 1015-1,keine_id,Kienmarkt,1444,,,72,72 d.,,,,
GB-D 1015-2,keine_id,Roter Turm,1444,ja,kauf ,530,17 s. 20 d.,120,265,265 tl.,umb zwayhundert und funfundsechczig phund pfenning  
GB-D 1015-3,keine_id,Münzerstraße,1444,,,72,72 d.,,,,
GB-D 1016-1,DB0024,Alserstraße,1444,ja,,140,0.5 tl. 20 d.,120,70,70 tl.,umb lxx tl. d.  
GB-D 1016-2,keine_id,Kürsenhaus,1443,,,240,1 tl.,120,120,120 tl.,umb hundert und zwainczig pfunt pfenning  
GB-D 1016-3,DB5470,Alter Kohlmarkt / Peurertor,1444,,,72,72 d.,,,,
GB-D 1017-1,keine_id,vordere Peckenstraße,1444,,,72,72 d.,,,,
GB-D 1017-2,keine_id,Lichtensteg / Schlagbrücke,1445,,,,0 d.,,,,
GB-D 1017-3,DB1007,Herzoghof / Lederhof,1445,,,96,3 s. 6 d.,120,48,48 tl.,umb xlviii tl. d.  
GB-D 1018-1,keine_id,vor Kernertor,1445,,kauf ,140,0.5 tl. 20 d.,120,70,70 tl.,umb Sibenczig phunt phenning  
GB-D 1018-2,DB1038,Judengasse / Judenplatz,1445,,,400,13 s. 10 d.,120,200,200 tl.,umb zwaihundert pfund pfenning  
GB-D 1018-3,DB5435,Hoher Markt,1445,,kauf ,864,3 tl. 4 s. 24 d.,92,332,332 tl.,umb ccc xxxii tl. d.  
GB-D 1019-1,DB5413,Fischmarkt / Hoher Markt,1445,,,144,0.5 tl. 24 d.,,,,
GB-D 1019-2,keine_id,Haarmarkt / Rotgasse,1445,ja,,72,72 d.,,,,
GB-D 1019-3,keine_id,Walichstraße,1445,,kauf ,440,14 s. 20 d.,120,220,220 tl.,umb zwayhundert und zwainczig pfunt pfenning  
GB-D 1020-1,keine_id,Kienmarkt,1446,,,72,72 d.,,,,
GB-D 1020-2,DB5413,Fischmarkt / Hoher Markt,1446,,,72,72 d.,,,,
GB-D 1020-3,keine_id,Wollzeile,1446,ja,,,0 d.,,,,
GB-D 1021-1,DB1018,Schulhof,1446,,,72,72 d.,,,,
GB-D 1021-2,keine_id,Brandstätte / Stephansfreithof,1446,,,,0 d.,,,,
GB-D 1021-3,keine_id,vordere Peckenstraße,1446,,,340,11 s. 10 d.,120,170,170 tl.,umb hundert und Sibenczig pfund pfenning  
GB-D 1021-4,DB5562,Hühnergässchen,1446,,,72,72 d.,,,,
GB-D 1022-1,keine_id,Krugstraße,1446,,,230,7 s. 20 d.,120,115,115 tl.,umb hundert und funfczehen pfund phenning  
GB-D 1022-2,DB5507,Kammerhof,1446,,,300,10 s.,,,,
GB-D 1022-3,keine_id,unter den Spenglern,1447,,,72,72 d.,,,,
GB-D 1023-1,DB5240,Wiltwerkerstraße,1447,,,176,5 s. 26 d.,120,88,88 tl.,umb Achtundachczig phund pfenning  
GB-D 1023-2,DB5207,Wiltwerkerstraße,1447,,,320,10 s. 20 d.,120,160,160 tl.,umb hundert und sechczig pfund pfenning  
