eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-E 0908-1,keine_id,Haarmarkt,1504,,,72,72 d.,,,,
GB-E 0909-1,keine_id,Lugeck,1504,,,72,72 d.,,,,
GB-E 0909-2,keine_id,Münzerstraße,1504,,,72,72 d.,,,na,umb Im Summa gelts  
GB-E 0910-1,keine_id,Kernerstraße,1504,,,144,4 s. 24 d.,,,,
GB-E 0911-1,DB5417,Fischhof,1504,,,216,7 s. 6 d.,,,,
GB-E 0912-1,DB5433,Hoher Markt,1504,,,72,72 d.,,,,
GB-E 0912-2,DB5433,Hoher Markt,1504,,,72,72 d.,,,,
GB-E 0913-1,DB5100,hinter St. Pankraz,1504,,,118,3 s. 28 d.,64,31.75,8.5 tl. / 55 tl.,umb newnthalb phunt phening  umb funfundfunfczig pfunt phening  
GB-E 0914-1,keine_id,vor Stubentor,1504,,,72,72 d.,,,,
GB-E 0914-2,DB6000,Scheffstraße,1504,,,,,,,,
GB-E 0915-1,keine_id,Himmelpforten,1504,,,220,7 s. 10 d.,60,55.0,70 tl. / 40 tl.,umb Sibenczig phunt  umb virczig phunt phennig  
GB-E 0915-2,keine_id,Graben,1504,,,72,72 d.,,,,
GB-E 0916-1,keine_id,Walichstraße,1504,,,,,,80,80 tl.,umb Achczig phunt phening lanndeswerung  
GB-E 0916-2,keine_id,unter den Hafnern,1504,,,144,4 s. 24 d.,,,,
GB-E 0917-1,DB5037b,Wiltwerkerstraße,1504,,,288,1 tl. 48 d.,,,,
GB-E 0919-1,keine_id,Mietstatt,1504,,,96,3 s. 6 d.,145,58,58 tl.,umb Achtundfunfczig phunt phening  
GB-E 0919-2,DB0002,vor Widmertor,1504,,,192,6 s. 12 d.,75,60,60 tl.,umb Sechczig phunt phening  
GB-E 0920-1,keine_id,unter den Riemern,1504,,,170,5 s. 20 d.,240,170,170 tl.,umb hundert unnd Sibenczig phunt phening  
GB-E 0921-1,keine_id,Kienmarkt,1505,,,,,,,,
GB-E 0922-1,keine_id,hintere Peckenstraße,1505,,,72,72 d.,,,,
GB-E 0923-1,keine_id,Kumpflucke,1505,,,72,72 d.,,,,
GB-E 0923-2,keine_id,Petersfreithof,1505,,,72,72 d.,,,,
GB-E 0924-1,DB5111,hinter St. Pankraz,1505,,,72,72 d.,,,,
GB-E 0925-1,DB5433,Hoher Markt,1505,,,262,1 tl. 22 d.,87,95,95 tl.,umb funfundnewnczig phunt phening  
GB-E 0925-2,keine_id,Walichstraße,1505,,,144,4 s. 24 d.,,,,
GB-E 0926-1,DB5540,Goldener Engel,1505,,,300,10 s.,169,211.5,81 UG + 54 RG + 43 tl. 3 s. / 150 RG,umb Ainundachrzig guldein hungrisch  unnd virundfunfrzig guldein reinisch  und xliii tl. iii s. d.  umb Anderthalb hundert guldein reinisch  
GB-E 0927-1,DB1053,Schiltergasse,1505,,,,,,,,
GB-E 0927-2,keine_id,,1505,,,,,,,,
GB-E 0928-1,keine_id,vor Stubentor,1505,,,82,82 d.,,,,
GB-E 0929-1,DB5501,Kammerhof,1505,,,,0 d.,,,,
GB-E 0929-2,keine_id,Alter Kohlmarkt,1505,,,600,2.5 tl.,120,300,300 tl.,umb drewhundert phunt phening guten lanndeswerung in Osterreich  
GB-E 0930-1,keine_id,Krugstraße,1505,,,72,72 d.,,,,
GB-E 0930-2,DB1034,Schulhof,1505,,,769,3 tl. 49 d.,,,na,umb ain Summa gelts  
GB-E 0931-1,keine_id,bei den Predigern,1505,,,72,72 d.,,,,
GB-E 0931-2,keine_id,bei den Predigern,1505,,,496,2 tl. 16 d.,120,248,248 tl.,umb zwayhundert unnd Achtundvierzig phund phening  
GB-E 0932-1,DB5565,Taschnergäßchen,1505,,,72,72 d.,,,,
GB-E 0933-1,keine_id,vor Werdertor,1505,,,,,,100,100 tl.,umb hundert phund phening  
GB-E 0933-2,keine_id,Wollzeile,1505,,,288,1 tl. 48 d.,,,,
GB-E 0934-1,keine_id,innerhalb Stubentor,1505,,,72,72 d.,,,,
GB-E 0934-2,keine_id,Graben,1505,ja,,,0 d.,,,,
GB-E 0935-1,keine_id,Gässlein am alten Fleischmarkt,1505,,,360,1 tl. 4 s.,120,180,180 tl.,umb hundert unnd Achtzig phund phening  
GB-E 0936-1,keine_id,vor Kernertor,1505,,,172,5 s. 22 d.,69,50,50 tl.,umb funfftzig phund phening  
