eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
KB-E 346-2,DB0081,Bognergasse / Peurertor,1431,,verkauf ,190,6 s. 10 d.,120,95,95 tl.,umb lxxxxv tl. d.  
KB-E 346-3,keine_id,Alter Fleischmarkt,1431,,verkauf ,272,9 s. 2 d.,208,236,236 tl.,umb iiᶜ und xxxvi tl. d.  
KB-E 346-4,keine_id,Alter Kohlmarkt,1431,,verkauf ,460,15 s. 10 d.,120,230,230 tl.,umb iiᶜ und xxx tl. d.  
KB-E 347-1,keine_id,Neuer Markt,1431,ja,verkauf ,36,36 d.,120,18,18 tl.,umb xviii tl. d.  
KB-E 347-2,keine_id,Schweinemarkt,1431,ja,verkauf ,120,0.5 tl.,160,80,80 tl.,umb lxxx tl. Wienner d.  
KB-E 348-1,keine_id,unter den Spenglern,1431,,,200,6 s. 20 d.,,,,
KB-E 348-2,keine_id,hintere Peckenstraße,1432,,verkauf ,180,6 s.,4,3,3 tl.,umb drew phunt Wienner phenning  
KB-E 349-1,keine_id,unter den Hafnern,1432,ja,verkauf ,46,46 d.,120,23,23 tl.,umb xxiii tl. d.  
KB-E 349-2,keine_id,unter den Hafnern,1432,ja,überschreibung ,72,72 d.,,,,
KB-E 349-3,keine_id,Krugstraße / Ringmauer,1432,,verkauf ,120,0.5 tl.,120,60,60 tl.,umb lx tl. Wienner d.  
KB-E 349-4,keine_id,Greut / vor Stubentor,1432,,verkauf ,16,16 d.,120,8,8 tl. 7 s.,umb viii tl. vii s. d.  
KB-E 350-1,keine_id,Salzgries,1432,,verkauf ,240,1 tl.,70,70,70 tl. !,umb ½ᶜ und xx tl. d.  
KB-E 350-2,DB0110,Haarhof,1432,ja,verkauf ,40,40 d.,120,20,20 tl.,umb xx t. Wienner d.  
KB-E 350-3,keine_id,Alter Kohlmarkt,1437,,,100,3 s. 10 d.,,,,
KB-E 351-1,keine_id,Lichtensteg,1433,,verkauf ,380,12 s. 20 d.,120,190,190 tl.,umb hundert und Newnczigk tl. d.  
KB-E 351-2,keine_id,Greut / vor Stubentor,1433,ja,verkauf ,180,6 s.,120,90,90 tl.,umb lxxxx tl. d.  
KB-E 351-3,keine_id,Neunburgerstraße / vor Schottentor,1433,,verkauf ,62,62 d.,120,31,31 tl.,umb xxxi tl. d.  
KB-E 351-4,keine_id,Weihenburg,1433,,verkauf ,120,0.5 tl.,154,77,77 tl.,umb lxxvii tl. d.  
KB-E 351-5,keine_id,Traibotenstraße,1438,,verkauf ,,,,29,29 tl.,umb xxviiii tl. d.  
KB-E 352-1,keine_id,Stephansfreithof,1433,,schenkung ,480,2 tl.,,,,
KB-E 352-2,DB5427,Hoher Markt,1437,,,320,10 s. 20 d.,,,,
KB-E 352-3,keine_id,Alter Rossmarkt / unter den Schlossern,1437,,verkauf ,90,3 s.,120,45,45 tl.,umb xlv tl. d.  
KB-E 353-1,keine_id,Schulstraße,1434,ja,verkauf ,570,2 tl. 3 s.,124,295,295 tl.,umb iiᶜ lxxxxv tl. d.  
KB-E 353-2,keine_id,Singerstraße,1434,,verkauf ,120,0.5 tl.,120,60,60 tl.,umb lx tl. d.  
